Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0805,12,C,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123F,12,D,
"J1, J2, J3, J4, J5",PinSocket_1x06_P2.54mm_Vertical,5,Conn_01x06,
"J12, J14, J15, J16, J17, J7",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02,
"R1, R10, R15, R16, R23, R24, R31, R32, R39, R40, R47, R48, R49, R50, R51, R52, R53, R54",0805,18,10K,
"R11, R12, R19, R2, R20, R27, R28, R3, R35, R36, R43, R44",0805,12,499.5,
"R13, R14, R21, R22, R29, R30, R37, R38, R4, R45, R46, R5",0805,12,500K,
"R17, R18, R25, R26, R33, R34, R41, R42, R6, R7, R8, R9",0805,12,1,
"RV1, RV2, RV3, RV4, RV5, RV6",RES-ADJ-SMD_3224W,6,R_Potentiometer,
"U1, U2, U3, U4, U5, U6",MSOP-8_3x3mm_P0.65mm,6,ADA4528-2,
