Designator,Mid X,Mid Y,Rotation,Layer
C1,28.1328,-0.808574,0.0,top
C10,23.0528,-64.511774,0.0,top
C11,28.1328,-72.541974,0.0,top
C12,23.0528,-78.841174,0.0,top
C2,23.0528,-7.107774,0.0,top
C3,28.325187,-15.342174,0.0,top
C4,23.245187,-21.641374,0.0,top
C5,28.1328,-29.662974,0.0,top
C6,23.0528,-35.962174,0.0,top
C7,28.1328,-43.988574,0.0,top
C8,23.0528,-50.287774,0.0,top
C9,28.1328,-58.212574,0.0,top
D1,29.117344,-4.161824,90.0,top
D10,32.673344,-60.499024,0.0,top
D11,29.117344,-75.895224,90.0,top
D12,32.673344,-74.828424,0.0,top
D2,32.673344,-3.095024,0.0,top
D3,29.309731,-18.695424,90.0,top
D4,32.865731,-17.628624,0.0,top
D5,29.117344,-33.016224,90.0,top
D6,32.673344,-31.949424,0.0,top
D7,29.117344,-47.341824,90.0,top
D8,32.673344,-46.275024,0.0,top
D9,29.117344,-61.565824,90.0,top
J1,-2.627,-18.615474,0.0,top
J12,21.849813,1.5288,90.0,top
J14,21.849813,-27.3256,90.0,top
J15,21.849813,-41.6512,90.0,top
J16,21.849813,-55.8752,90.0,top
J17,21.849813,-70.2046,90.0,top
J2,44.084,-18.590474,0.0,top
J3,3.444,-39.418474,0.0,top
J4,-2.652,-39.418474,0.0,top
J5,44.084,-39.418474,0.0,top
J7,22.0422,-13.0048,90.0,top
R1,24.5768,-1.316574,0.0,top
R10,32.165344,-5.431824,0.0,top
R11,19.689187,-17.729774,180.0,top
R12,19.689187,-20.015774,180.0,top
R13,19.689187,-23.416474,180.0,top
R14,19.699587,-15.7528,180.0,top
R15,24.769187,-15.850174,0.0,top
R16,32.357731,-19.965424,0.0,top
R17,16.652,-34.996974,90.0,top
R18,16.652,-31.339374,270.0,top
R19,19.4968,-32.050574,180.0,top
R2,19.4968,-5.482174,180.0,top
R20,19.4968,-34.336574,180.0,top
R21,19.4968,-37.737274,180.0,top
R22,19.5072,-30.0736,180.0,top
R23,24.5768,-30.170974,0.0,top
R24,32.165344,-34.286224,0.0,top
R25,16.652,-49.322574,90.0,top
R26,16.652,-45.664974,270.0,top
R27,19.4968,-46.376174,180.0,top
R28,19.4968,-48.662174,180.0,top
R29,19.4968,-52.062874,180.0,top
R3,19.4968,-3.196174,180.0,top
R30,19.5072,-44.3992,180.0,top
R31,24.5768,-44.496574,0.0,top
R32,32.165344,-48.611824,0.0,top
R33,16.652,-63.546574,90.0,top
R34,16.652,-59.888974,270.0,top
R35,19.4968,-60.600174,180.0,top
R36,19.4968,-62.886174,180.0,top
R37,19.4968,-66.286874,180.0,top
R38,19.5072,-58.6232,180.0,top
R39,24.5768,-58.720574,0.0,top
R4,19.5072,-1.2192,180.0,top
R40,32.165344,-62.835824,0.0,top
R41,16.652,-77.875974,90.0,top
R42,16.652,-74.218374,270.0,top
R43,19.4968,-74.929574,180.0,top
R44,19.4968,-77.215574,180.0,top
R45,19.4968,-80.616274,180.0,top
R46,19.5072,-72.9526,180.0,top
R47,24.5768,-73.049974,0.0,top
R48,32.165344,-77.165224,0.0,top
R49,13.6652,-6.858,0.0,top
R5,19.4968,-8.882874,180.0,top
R50,13.857587,-21.3916,0.0,top
R51,13.6652,-35.7124,0.0,top
R52,13.6652,-50.038,0.0,top
R53,13.6652,-64.262,0.0,top
R54,13.6652,-78.5914,0.0,top
R6,16.652,-6.142574,90.0,top
R7,16.652,-2.484974,270.0,top
R8,16.844387,-20.676174,90.0,top
R9,16.844387,-17.018574,270.0,top
RV1,14.8336,-10.8712,90.0,top
RV2,15.025987,-25.4048,90.0,top
RV3,14.8336,-39.7256,90.0,top
RV4,14.8336,-54.0512,90.0,top
RV5,14.8336,-68.2752,90.0,top
RV6,14.8336,-82.6046,90.0,top
U1,24.587613,-4.171174,270.0,top
U2,24.78,-18.704774,270.0,top
U3,24.587613,-33.025574,270.0,top
U4,24.587613,-47.351174,270.0,top
U5,24.587613,-61.575174,270.0,top
U6,24.587613,-75.904574,270.0,top
