Designator,Mid X,Mid Y,Rotation,Layer
C1,190.754,-50.292,0.0,top
C10,182.499,-68.961,180.0,top
C11,190.881,-72.771,270.0,top
C12,182.372,-63.246,180.0,top
C13,162.5619,-55.3212,180.0,top
C14,159.7679,-61.4172,0.0,top
C2,185.674,-56.134,0.0,top
C3,190.058,-43.434,0.0,top
C4,183.388,-49.276,180.0,top
C5,191.77,-53.086,270.0,top
C6,183.261,-43.561,180.0,top
C7,189.865,-69.977,0.0,top
C8,184.785,-75.819,0.0,top
C9,189.169,-63.119,0.0,top
J1,150.3172,-59.0804,0.0,top
J16,168.153,-65.278,270.0,top
J2,201.5744,-59.4122,0.0,top
J3,156.977,-65.278,270.0,top
J4,156.977,-51.308,270.0,top
R1,179.7285,-52.832,180.0,top
R10,178.8395,-72.517,180.0,top
R11,180.975,-74.549,180.0,top
R12,181.784,-71.755,270.0,top
R13,180.975,-76.835,180.0,top
R14,178.8395,-70.485,0.0,top
R15,192.913,-72.771,90.0,top
R16,181.61,-66.04,270.0,top
R17,192.6415,-66.0225,90.0,top
R18,190.6095,-66.0225,270.0,top
R19,168.4039,-58.8264,0.0,top
R2,181.864,-54.864,180.0,top
R20,156.3154,-59.9694,180.0,top
R21,165.6099,-58.1914,270.0,top
R22,156.9739,-57.1754,270.0,top
R3,182.673,-52.07,270.0,top
R4,181.864,-57.15,180.0,top
R5,179.7285,-50.8,0.0,top
R6,193.802,-53.086,90.0,top
R7,182.499,-46.355,270.0,top
R8,193.5305,-46.3375,90.0,top
R9,191.4985,-46.3375,270.0,top
U1,187.198,-53.34,270.0,top
U2,187.0245,-46.441,270.0,top
U3,186.309,-73.025,270.0,top
U4,186.1355,-66.126,270.0,top
U5,161.2454,-58.2774,270.0,top
