layer,channel,type,index,name,value,unit,Standardized_E96,Error_E96_pct,Standardized_E24,Error_E24_pct
layer2,1,input_pos,1.0,R_pos1_1,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,1.0,R_neg1_1,484.08995664627304,Ω,487.0,0.6011368989944457,470.0,2.910607099533081
layer2,1,input_pos,2.0,R_pos1_2,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,2.0,R_neg1_2,1046.3664664103662,Ω,1050.0,0.3472524881362897,1000.0,4.431188106536867
layer2,1,input_pos,3.0,R_pos1_3,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,3.0,R_neg1_3,14691.87994444532,Ω,14700.0,0.05526900291443123,15000.0,2.0972132682800315
layer2,1,input_pos,4.0,R_pos1_4,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,4.0,R_neg1_4,1068.890123179766,Ω,1070.0,0.10383450984954629,1100.0,2.9104840755462624
layer2,1,input_pos,5.0,R_pos1_5,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,5.0,R_neg1_5,756.5546861098312,Ω,750.0,0.866386294364932,750.0,0.866386294364932
layer2,1,input_pos,6.0,R_pos1_6,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,input_neg,6.0,R_neg1_6,1537.6756384795785,Ω,1540.0,0.15116071701049658,1500.0,2.4501681327819838
layer2,1,bias_pos,,R_bias_pos1,52169.95753296681,Ω,52300.00000000001,0.24926695972682006,51000.0,2.242588624358181
layer2,1,bias_neg,,R_bias_neg1,1000000000.0,Ω,1000000000.0,0.0,1000000000.0,0.0
layer2,1,sampling_pos,,Rin_pos1,1.0,Ω,1.0,0.0,1.0,0.0
layer2,1,sampling_neg,,Rin_neg1,1.0,Ω,1.0,0.0,1.0,0.0
layer2,1,differential_pos,,R1_pos1,499.5004995004995,Ω,499.0,0.10019999999999442,509.99999999999994,2.1019999999999945
layer2,1,differential_neg,,R1_neg1,499.5004995004995,Ω,499.0,0.10019999999999442,509.99999999999994,2.1019999999999945
