Designator,Footprint,Quantity,Value
R10,R0805,1,电阻 1.05kΩ ± 1%
"R12,R244",R0805,2,电阻 1.07kΩ ± 1%
"R79,R115,R118",R0805,3,电阻 1.15kΩ ± 1%
"R20,R223",R0805,2,电阻 1.1kΩ ± 1%
R164,R0805,1,电阻 1.21kΩ ± 1%
R181,R0805,1,电阻 1.33kΩ ± 1%
"R61,R185,R213",R0805,3,电阻 1.37kΩ ± 1%
R44,R0805,1,电阻 1.3kΩ ± 1%
R264,R0805,1,电阻 1.43kΩ ± 1%
"R46,R126",R0805,2,电阻 1.47kΩ ± 1%
R209,R0805,1,电阻 1.4kΩ ± 1%
R14,R0805,1,电阻 1.54kΩ ± 1%
"R129,R186",R0805,2,电阻 1.58kΩ ± 1%
R124,R0805,1,电阻 1.5kΩ ± 1%
R104,R0805,1,电阻 1.74kΩ ± 1%
R89,R0805,1,电阻 1.82kΩ ± 1%
R182,R0805,1,电阻 1.87kΩ ± 1%
R180,R0805,1,电阻 10.5kΩ ± 1%
R184,R0805,1,电阻 10.7kΩ ± 1%
"R2,R3,R4,R5,R6,R7,R8,R15,R16,R17,R18,R19,R27,R28,R31,R33,R36,R37,R39,R41,R42,R43,R47,R48,R51,R52,R53,R56,R62,R64,R65,R66,R67,R68,R70,R71,R72,R73,R74,R75,R77,R83,R85,R88,R90,R91,R93,R94,R96,R99,R102,R103,R105,R107,R108,R111,R114,R117,R119,R120,R122,R123,R125,R127,R128,R130,R131,R136,R139,R140,R141,R144,R145,R147,R149,R150,R153,R156,R157,R162,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R183,R191,R192,R193,R194,R195,R196,R197,R200,R201,R202,R203,R205,R206,R211,R214,R215,R216,R219,R220,R224,R225,R226,R234,R235,R236,R237,R238,R239,R242,R245,R247,R248,R250,R251,R253,R257,R258,R261,R262,R263,R266",R0805,133,电阻 1000MΩ ± 1%
R134,R0805,1,电阻 102kΩ ± 1%
R204,R0805,1,电阻 107kΩ ± 1%
R100,R0805,1,电阻 11.8kΩ ± 1%
R69,R0805,1,电阻 13.3kΩ ± 1%
R11,R0805,1,电阻 14.7kΩ ± 1%
R246,R0805,1,电阻 143kΩ ± 1%
R176,R0805,1,电阻 147kΩ ± 1%
R155,R0805,1,电阻 162kΩ ± 1%
R240,R0805,1,电阻 18.2kΩ ± 1%
R81,R0805,1,电阻 1kΩ ± 1%
"R59,R60",R0805,2,电阻 2.05kΩ ± 1%
R116,R0805,1,电阻 2.15kΩ ± 1%
R210,R0805,1,电阻 2.1kΩ ± 1%
R222,R0805,1,电阻 2.21kΩ ± 1%
"R158,R230",R0805,2,电阻 2.26kΩ ± 1%
"R255,R256",R0805,2,电阻 2.37kΩ ± 1%
"R252,R265",R0805,2,电阻 2.49kΩ ± 1%
R161,R0805,1,电阻 2.61kΩ ± 1%
R259,R0805,1,电阻 2.94kΩ ± 1%
R35,R0805,1,电阻 20.5kΩ ± 1%
R112,R0805,1,电阻 215Ω ± 1%
R232,R0805,1,电阻 21kΩ ± 1%
R57,R0805,1,电阻 22.1kΩ ± 1%
R148,R0805,1,电阻 22.6kΩ ± 1%
R135,R0805,1,电阻 226kΩ ± 1%
R98,R0805,1,电阻 226Ω ± 1%
R106,R0805,1,电阻 28.7kΩ ± 1%
"R137,R178",R0805,2,电阻 2kΩ ± 1%
R208,R0805,1,电阻 3.09kΩ ± 1%
R254,R0805,1,电阻 3.16kΩ ± 1%
"R40,R159",R0805,2,电阻 3.24kΩ ± 1%
"R177,R189",R0805,2,电阻 3.32kΩ ± 1%
"R84,R217",R0805,2,电阻 3.48kΩ ± 1%
R152,R0805,1,电阻 3.74kΩ ± 1%
"R32,R45,R231,R249",R0805,4,电阻 3.83kΩ ± 1%
R151,R0805,1,电阻 3.92kΩ ± 1%
R29,R0805,1,电阻 30.9kΩ ± 1%
R78,R0805,1,电阻 301kΩ ± 1%
R190,R0805,1,电阻 31.6MΩ ± 1%
R92,R0805,1,电阻 35.7kΩ ± 1%
R212,R0805,1,电阻 36.5kΩ ± 1%
"R58,R110,R228",R0805,3,电阻 4.02kΩ ± 1%
R143,R0805,1,电阻 4.12kΩ ± 1%
R121,R0805,1,电阻 4.32kΩ ± 1%
R160,R0805,1,电阻 4.42kΩ ± 1%
R95,R0805,1,电阻 4.64kΩ ± 1%
R97,R0805,1,电阻 4.87kΩ ± 1%
"R30,R243",R0805,2,电阻 4.99kΩ ± 1%
"R82,R198",R0805,2,电阻 40.2kΩ ± 1%
R179,R0805,1,电阻 42.2kΩ ± 1%
R154,R0805,1,电阻 422Ω ± 1%
R241,R0805,1,电阻 432Ω ± 1%
"R9,R109",R0805,2,电阻 487Ω ± 1%
R260,R0805,1,电阻 49.9kΩ ± 1%
R233,R0805,1,电阻 499Ω ± 1%
R207,R0805,1,电阻 5.23kΩ ± 1%
R24,R0805,1,电阻 5.36kΩ ± 1%
R86,R0805,1,电阻 5.49kΩ ± 1%
"R38,R187",R0805,2,电阻 5.62kΩ ± 1%
R199,R0805,1,电阻 5.76kΩ ± 1%
R1,R0805,1,电阻 52.3kΩ ± 1%
R221,R0805,1,电阻 523Ω ± 1%
R25,R0805,1,电阻 536Ω ± 1%
R21,R0805,1,电阻 6.04kΩ ± 1%
R101,R0805,1,电阻 6.34kΩ ± 1%
R50,R0805,1,电阻 604kΩ ± 1%
R80,R0805,1,电阻 604Ω ± 1%
R22,R0805,1,电阻 619kΩ ± 1%
R54,R0805,1,电阻 619Ω ± 1%
R142,R0805,1,电阻 64.9kΩ ± 1%
R133,R0805,1,电阻 649Ω ± 1%
"R26,R49,R227",R0805,3,电阻 665Ω ± 1%
R113,R0805,1,电阻 68.1kΩ ± 1%
"R63,R138,R229",R0805,3,电阻 732Ω ± 1%
R13,R0805,1,电阻 750Ω ± 1%
R218,R0805,1,电阻 75kΩ ± 1%
R23,R0805,1,电阻 825Ω ± 1%
"R76,R146,R163",R0805,3,电阻 887Ω ± 1%
"R34,R188",R0805,2,电阻 909Ω ± 1%
"R55,R87",R0805,2,电阻 953Ω ± 1%
R132,R0805,1,电阻 976Ω ± 1%
